planner,planner_label,map_id,map_label,seed,status,success,safety_pass,overall_score,time_to_goal_s,final_error_m,min_clearance_m,path_length_m,path_efficiency,mean_speed_mps,max_speed_mps,mean_jerk_mps3,fallback_trigger_count,output_dir,completed_at
homemade,Path A — Grid A* + B-spline,official_forest,Random Forest,1,fail,False,False,,,,,,,,,,,/home/jungod/drone_ws/report/planner_benchmark/runs/homemade__official_forest/20260724T171522,2026-07-24T17:15:32+08:00
homemade,Path A — Grid A* + B-spline,dense_field,Dense Obstacle Field,42,ok,True,True,91.57852490185613,40.510999999999996,0.0019,0.1924,41.160094301614066,1.0,1.0163221918247176,1.4393045658011743,52.59683331622054,0,/home/jungod/drone_ws/report/planner_benchmark/runs/homemade__dense_field/20260724T171532,2026-07-24T17:18:40+08:00
ego,Path B — EGO rebound B-spline,official_forest,Random Forest,1,ok,True,True,90.84927612099584,131.29999999999998,0.1621,0.3498,55.10845353276018,1.0,0.4197140406150814,0.5954796386107978,2.187342514570791,0,/home/jungod/drone_ws/report/planner_benchmark/runs/ego__official_forest/20260725T135501,2026-07-25T13:58:09+08:00
ego,Path B — EGO rebound B-spline,dense_field,Dense Obstacle Field,42,ok,False,False,22.371207546959532,nan,0.0005,0.0697,85.2848180881723,0.4924674864942317,0.5009632818878981,5.752153408373316,19.69536784584481,0,/home/jungod/drone_ws/report/planner_benchmark/runs/ego__dense_field/20260724T172151,2026-07-24T17:24:59+08:00
gcopter,Path C — GCOPTER / MINCO,official_forest,Random Forest,1,ok,True,True,86.24179352134855,124.54999999999998,0.0655,0.2563,56.190869322316416,0.9966031968428612,0.4524263130734348,1.183232859584265,30.790365575172554,0,/home/jungod/drone_ws/report/planner_benchmark/runs/gcopter__official_forest/20260724T172459,2026-07-24T17:28:07+08:00
gcopter,Path C — GCOPTER / MINCO,dense_field,Dense Obstacle Field,42,ok,False,True,17.27622382365368,nan,116.1035,0.0956,653.0034459155847,0.0643181904516771,4.129834021191432,11.764439886699185,254.46796215878976,0,/home/jungod/drone_ws/report/planner_benchmark/runs/gcopter__dense_field/20260724T172807,2026-07-24T17:31:16+08:00
mighty,Path E — MIGHTY HGP,official_forest,Random Forest,1,ok,False,False,7.2505357914360316,nan,122.5219,0.0301,598.4811107961558,0.09357020462267145,3.527631053066892,9.795842899367837,110.43606690020896,0,/home/jungod/drone_ws/report/planner_benchmark/runs/mighty__official_forest/20260724T173116,2026-07-24T17:34:24+08:00
mighty,Path E — MIGHTY HGP,dense_field,Dense Obstacle Field,42,ok,False,True,28.950546113605235,nan,3.9261,0.0927,62.52955351573179,0.6716823907823559,0.3403936655298228,2.884043605691693,19.194435728970653,0,/home/jungod/drone_ws/report/planner_benchmark/runs/mighty__dense_field/20260724T173424,2026-07-24T17:37:32+08:00
fast_planner,Optional F — Fast-Planner kino (lineage),official_forest,Random Forest,1,ok,False,True,35.823668310565154,nan,16.8794,0.2813,46.05533204813358,1.0,0.28735577053836336,3.1013579368775575,111.4080943958925,0,/home/jungod/drone_ws/report/planner_benchmark/runs/fast_planner__official_forest/20260724T173732,2026-07-24T17:40:40+08:00
fast_planner,Optional F — Fast-Planner kino (lineage),dense_field,Dense Obstacle Field,42,ok,False,True,20.928918328349933,nan,916.4842,0.1815,1206.2125440174107,0.034819734057908926,7.24208534281519,9.334600806794505,235.92845916431904,0,/home/jungod/drone_ws/report/planner_benchmark/runs/fast_planner__dense_field/20260724T174040,2026-07-24T17:43:48+08:00
vfh,Path G — VFH+ histogram,official_forest,Random Forest,1,ok,False,False,27.603192183253434,nan,0.8308,0.0628,89.1154809362752,0.6283981123329687,0.5106958589417075,4.281228945384635,2.9692369944001653,0,/home/jungod/drone_ws/report/planner_benchmark/runs/vfh__official_forest/20260724T174348,2026-07-24T17:46:56+08:00
vfh,Path G — VFH+ histogram,dense_field,Dense Obstacle Field,42,ok,False,False,23.235200497519667,nan,0.8164,0.0495,59.07648739729433,0.7109427430501492,0.3365261480734774,2.347757489720048,13.142473143558494,0,/home/jungod/drone_ws/report/planner_benchmark/runs/vfh__dense_field/20260724T174656,2026-07-24T17:50:05+08:00
sac,Path H — Polar DrQ-SAC,official_forest,Random Forest,1,ok,False,False,9.64932777083744,nan,916.0643,0.0434,1043.7159271958753,0.05365444613885864,5.9229939423595654,12.498650317759825,52.06639849897879,13,/home/jungod/drone_ws/report/planner_benchmark/runs/sac__official_forest/20260724T175005,2026-07-24T17:53:15+08:00
sac,Path H — Polar DrQ-SAC,dense_field,Dense Obstacle Field,42,ok,True,True,87.31637699685426,53.019,0.3805,0.1629,46.32514933391859,0.9066349618704461,0.8802741291565157,2.038018183898667,11.738354859959687,11,/home/jungod/drone_ws/report/planner_benchmark/runs/sac__dense_field/20260724T175315,2026-07-24T17:56:23+08:00
